GeoLoc,OrgPerc,IMAPerc,NumPend,MaintTime,AWMDays,AWMProb,UtilOrg,UtilIMA,UtilDiff
Overall,0.58,0.42,35,9.538826862,0.070638685,0.048357837,0.517457983,0.30647036,0.268930885
Overall,0.62,0.38,35,9.524845666,0.056657488,0.038665572,0.484164077,0.33874891,0.226223468
Overall,0.66,0.34,35,9.561800824,0.093612646,0.032857361,0.454921748,0.379137334,0.142048988
Overall,0.68,0.32,35,9.543946705,0.075758527,0.032046216,0.441450583,0.401507171,0.111397196
Overall,0.7,0.3,35,9.561800824,0.093612646,0.032857361,0.428926219,0.429688979,0.11547396
Overall,0.72,0.28,35,9.700426011,0.232237833,0.046013561,0.417340468,0.461798143,0.153161212
Overall,0.74,0.26,35,9.696094019,0.227905841,0.051207286,0.405750158,0.494668489,0.148060275
Overall,0.28,0.72,36,28.20933206,18.74114389,0.678640262,0.995964454,0.164550634,0.835725206
Overall,0.32,0.68,36,21.69630216,12.22811398,0.475867353,0.873925848,0.175103633,0.834713445
Overall,0.38,0.62,36,13.23004804,3.761859867,0.370970285,0.788246729,0.208015108,0.797846841
Overall,0.44,0.56,36,10.08186038,0.613672202,0.212751772,0.682323379,0.231138164,0.618239481
Overall,0.5,0.5,36,9.751659618,0.28347144,0.121592508,0.600781299,0.258210367,0.476928666
Overall,0.56,0.44,36,9.591054937,0.122866759,0.067184759,0.535929084,0.292158916,0.357928235
Overall,0.62,0.38,36,9.577260923,0.109072746,0.046594663,0.484353393,0.339264904,0.249420404
Overall,0.66,0.34,36,9.566815758,0.09862758,0.041956862,0.454978053,0.379096815,0.198242639
Overall,0.68,0.32,36,9.573965651,0.105777474,0.042729154,0.441371734,0.401203604,0.171482197
Overall,0.7,0.3,36,9.662976346,0.194788168,0.047273696,0.428757322,0.428465256,0.152056696
Overall,0.72,0.28,36,9.695007906,0.226819728,0.050110289,0.416852465,0.459939706,0.152135271
Overall,0.32,0.68,37,21.8376065,12.36941832,0.47815069,0.875800569,0.174659709,0.828676638
Overall,0.38,0.62,37,13.35955221,3.891364032,0.370969757,0.787740409,0.20713825,0.80776728
Overall,0.42,0.58,37,13.03831754,3.570129358,0.30252715,0.712931857,0.221528655,0.789092713
Overall,0.48,0.52,37,10.00305491,0.534866735,0.177422737,0.625285797,0.247698444,0.607514594
Overall,0.54,0.46,37,9.709197101,0.241008923,0.102029936,0.556323414,0.280498948,0.463660407
Overall,0.58,0.42,37,9.694596632,0.226408454,0.091042422,0.517522749,0.306646691,0.427749206
Overall,0.64,0.36,37,9.607487177,0.139299,0.060008106,0.468614557,0.356312469,0.296628035
Overall,0.66,0.34,37,9.703377975,0.235189797,0.058093167,0.455150609,0.379994719,0.225258397
Overall,0.68,0.32,37,9.683063638,0.21487546,0.056846645,0.441378461,0.402001527,0.198758116
Overall,0.7,0.3,37,9.704826267,0.236638089,0.057533254,0.427748992,0.431222548,0.170423737
Overall,0.72,0.28,37,9.691838744,0.223650566,0.06158137,0.417059893,0.459926144,0.19852658
Overall,0.32,0.68,38,21.95020876,12.48202058,0.478042688,0.875483669,0.176109256,0.830841803
Overall,0.36,0.64,38,21.25378266,11.78559448,0.359956483,0.774155211,0.184808936,0.820225956
Overall,0.42,0.58,38,13.40402326,3.935835082,0.30424299,0.71300535,0.223358441,0.803753376
Overall,0.48,0.52,38,10.12332723,0.655139048,0.184296508,0.634167843,0.25656542,0.621056609
Overall,0.52,0.48,38,10.00210456,0.533916382,0.157754772,0.579010538,0.268604432,0.588959564
Overall,0.58,0.42,38,9.73593868,0.267750502,0.099776305,0.518116942,0.306910145,0.446981932
Overall,0.62,0.38,38,9.738116653,0.269928476,0.094141506,0.484048973,0.339300599,0.408428159
Overall,0.66,0.34,38,9.75116468,0.282976502,0.076983134,0.454974485,0.378652067,0.296990977
Overall,0.68,0.32,38,9.747931363,0.279743185,0.075482233,0.441729274,0.403956475,0.266063325
Overall,0.7,0.3,38,9.752059324,0.283871146,0.077291871,0.429014858,0.429965793,0.268156478
Overall,0.26,0.74,31,38.58585505,29.11766688,0.692253554,0.998542198,0.146683968,0.857815175
Overall,0.32,0.68,31,16.02258205,6.554393869,0.575139496,0.932424318,0.187564868,0.82883012
Overall,0.38,0.62,31,10.50819239,1.040004208,0.334082338,0.790122796,0.207037628,0.659310616
Overall,0.4,0.6,31,10.41155821,0.943370027,0.300655143,0.751881952,0.215951184,0.638602328
Overall,0.46,0.54,31,9.845331527,0.377143349,0.169702722,0.652418834,0.237821451,0.498335608
Overall,0.52,0.48,31,9.627276866,0.159088689,0.091028344,0.577262466,0.266076206,0.388275836
Overall,0.58,0.42,31,9.558441611,0.090253434,0.050336924,0.518311524,0.306798934,0.290124305
Overall,0.64,0.36,31,9.533922037,0.065733859,0.028691416,0.469136293,0.357790992,0.191004062
Overall,0.66,0.34,31,9.534907647,0.06671947,0.029338365,0.454410941,0.377736218,0.142592757
Overall,0.68,0.32,31,9.556715121,0.088526944,0.036790705,0.44136882,0.401754729,0.143925133
Overall,0.7,0.3,31,9.548718011,0.080529833,0.030636201,0.42878628,0.428948388,0.119149452
Overall,0.72,0.28,31,9.603443009,0.135254831,0.038543469,0.416358589,0.462419161,0.122124427
Overall,0.78,0.22,31,9.894117784,0.425929606,0.085898531,0.385159989,0.586458314,0.283638048
Overall,0.5,0.5,16,34.24698258,24.7787944,0.447034134,0.51960513,0.218411636,0.872129795
Overall,0.52,0.48,16,34.24698258,24.7787944,0.447029788,0.499620317,0.22751212,0.864128388
Overall,0.56,0.44,16,34.24698258,24.7787944,0.447029788,0.463933152,0.24819504,0.8446964
Overall,0.64,0.36,16,16.53551145,7.067323277,0.539059752,0.466793016,0.355422627,0.814609525
Overall,0.66,0.34,16,16.60459962,7.136411442,0.539375484,0.453056591,0.376823863,0.798349684
Overall,0.74,0.26,16,23.00072579,13.53253761,0.458677136,0.391180244,0.472964952,0.79790495
Overall,0.78,0.22,16,22.77685677,13.30866859,0.462972804,0.372119212,0.558407753,0.812367789
Overall,0.8,0.2,16,22.47740567,13.0092175,0.465751856,0.36296746,0.614203968,0.818649592
Overall,0.48,0.52,17,34.13501112,24.66682294,0.441083426,0.539887537,0.205629061,0.878665341
Overall,0.52,0.48,17,34.17455047,24.7063623,0.441141334,0.498361569,0.2215354,0.861612745
Overall,0.58,0.42,17,16.16855993,6.700371753,0.504253633,0.515316716,0.304604029,0.839944076
Overall,0.62,0.38,17,16.04804964,6.579861462,0.504248057,0.481751906,0.337695117,0.813402824
